unit_id,airline_sentiment,airline,text
681462438,negative,US Airways,@USAirways My flight cost me just under $800 and this is what happens? I fly with @united and have no problems. I come the US 4-5 times...
681678271,negative,American,"@AmericanAir is there something wrong with the website? no matter what flight I select, it says it's no longer available."
681679635,negative,American,"@AmericanAir my itinerary was from EWR TO DALLAS to LA. You Cancelled Flightled my flight, you have my money, find a way to get me there from EWR"
681454212,negative,United,@united its 2015 and no power outlets at the seats on a 6 hour flight to California? Seriously? This is why airlines are failing!! Pathetic!
681678228,negative,American,@AmericanAir no standby line update online or on app either is troubling
681678703,negative,American,@AmericanAir . Death of a dear friend has me heart broken but #AmericanAirlines has me heated!
681461149,negative,US Airways,"@USAirways can't seem to find the pilots for our 6pm flight, never seen anything like it before #drunkpilots http://t.co/Zira2z3UDc"
681449970,negative,United,@united today take flight to san francisco. .. refuse to let us board with baby early... time we board wont let us take baby carryon bag
681458307,negative,Delta,@JetBlue note the time this was taken (now at 906 am) and flight still listed as on time for 910 when I'm not onboard http://t.co/zvfmxnuELJ
681461176,negative,US Airways,@USAirways Can you guys please give an update?  Been sitting on Tarmac on flight 601 yet the website still says it's on time?
681452513,negative,United,@united cleaning a regional jet takes an hour?
681677724,negative,American,@AmericanAir Who do I report missing baggage to when baggage claim leaves before midnight?
681451458,negative,United,"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight."
681678294,negative,American,@AmericanAir @derekc21  Hello any one out there ? have you forgotten me ?  I need a  luggage # for BA.  Your dropping the ball here .
681461976,negative,US Airways,"@USAirways - the worst! Hold time crazy, agents horrible, no accountability! #USAIRsucks"
681463034,negative,US Airways,@USAirways tooooo many Cancelled Flightations! My chain of command hates me now
681450227,negative,United,@united you have now lost my bag. Never ever flying United again #joke
681677626,negative,American,@AmericanAir you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd
681453079,negative,United,@united tried that already &amp; tried forgetting the wifi network connection. Still forces log in with incorrect email. Other suggestions?
681678546,negative,American,@AmericanAir hahahaha! This is crazy! Well here's to another night at the airport!!
681460284,negative,US Airways,@USAirways I've flown US Airways at least five times. Every single time has been like this. Actions speak louder than words.
681461010,negative,US Airways,@USAirways Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT @pattonoswalt you're my only hope.
681462914,negative,US Airways,@USAirways NOT GOOD. been on hold for 1hour (2x/day) since sun. to book 1-way flt dividend miles. agents send me to on hold hell. #furious
681460111,negative,US Airways,@USAirways @Beamske how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . @yorkshire2002
681450205,negative,United,"@united First complaint filed on Feb 11th, over 10 days now and still no response....disappointed but not surprised...."
681458753,negative,Delta,"@JetBlue No, the flight wasn't until 9:51pm, but it's already been delayed."
681451941,negative,United,@united I already follow you. One of you 800-number agents rebooked me. Went from a 777 to an a320. Ugh.
681448899,negative,Virgin America,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
681454111,negative,United,"@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive, how do I know this won't happen this time?"
681677620,negative,American,@AmericanAir needs to get their shit together. 2 counter people &amp; a massive line. People need to catch their flights! http://t.co/4MQFMxeBXt
681459746,negative,Delta,@JetBlue We even went to the airport and were on the phone for hrs and no help at all. Everyone said different things.
681455820,negative,Southwest,@SouthwestAir why do you charge so much moving from a full flight to an earlier flight with seats available?  doesn't make sense to me.
681460547,negative,US Airways,"@USAirways awesome... Doors close in 2 minutes, flight leaves in 17 minutes... And the plane just got here. WTH?"
681448275,negative,Virgin America,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
681450107,negative,United,"@united I would like to talk to a customer service agent about the service / non service I received on my last flight a a week or so a go.
J"
681677855,negative,American,@AmericanAir is there another line I can call when I am on hold for 5 hours? Also how can I get compensated for this loss of time and money?
681455702,negative,Southwest,@SouthwestAir  getting the run around today with customer service &amp; disconnected customer relations # given twice. Help!!!
681458668,negative,Delta,"@JetBlue flight 672 delayed from 9:30 to 11:47 now, still sitting on runway over 15 minutes so far. Air travel at its best."
681463033,negative,US Airways,@USAirways Please staff your flights approproately. Our entire flight is delayed because FA isnt here. I shouldnt have left Delta...
681457621,negative,Delta,���@JetBlue: Our fleet's on fleek. http://t.co/8o3SCR5EFW�۝ smh yall expect me to trust a childish airline with my life? #Nah
681462963,negative,US Airways,@USAirways contd.. They put her on 7 pm flite tonite. I think she's on now. Worst customer service ever! U need to fix it.
681453822,negative,United,@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell
681459747,negative,Delta,@JetBlue People kept saying it was due to weather but there were flights going directly to boston even after our flight.
681453265,negative,United,"@united please explain why I need to pay bag fees twice, equally $1200, because a delayed flight resulted in bags being rechecked overnight?"
681460825,negative,US Airways,"@USAirways @AmericanAir call the number listed? sure! by next Friday, I should get a real live person on the line http://t.co/8TJUuM22dD"
681453976,negative,United,@united - flight 1114. Unfortunately this isn't an isoLate Flightd incident. I haven't waited less than 20min in years
681461241,negative,US Airways,"@USAirways thanks to you, you have now incurred us approximately 2000 dollars in fees due to a staff members screw up.  #neveragain"
681454709,negative,Southwest,@SouthwestAir Wasn't able to sit in my seat since the guy next to me was using it. #worstflightever #ideserveareward http://t.co/l7hSnLgie2
681455447,negative,Southwest,@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.
681451618,negative,United,@united flight just Cancelled Flightled. This is ridiculous
681449649,negative,United,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
681452934,negative,United,@united my fingers are crossed that they are more capable of getting baggage from point A-&gt;B than United Airlines!
681678602,negative,American,"@AmericanAir my flight was Cancelled Flightled yesterday early afternoon, so why did you call me at 1230am and 230am to wake me up and tell me?!"
681456942,negative,Southwest,@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!
681461312,negative,US Airways,"@USAirways After today,no reason 4 anyone to not approve merger with @AmericanAir,other airlines have no reason to fear losing business to U"
681679455,negative,American,@AmericanAir flight 1081 from IAD to LAX sat for more than 3hrs because ground crew couldn't drive in snow #badmgmt #AmericanAirlines
681450302,negative,United,@united UA1731 - Denver to Austin...  Still on the ground...
681453176,negative,United,@united I must stop my relationship with you. You've become greedy and heartless and our long term relationship is over
681454192,negative,United,@united i got email that my reservations got Cancelled Flightled and i will be refunded.  Nothing got refunded as of yet
681454406,negative,Southwest,@SouthwestAir do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr
681678662,negative,American,@AmericanAir no email no phone call no nothing. You've screwed with my flight and my family/Friends flights. You Cancelled Flighted reservations for
681448371,negative,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
681453275,negative,United,@united I am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line!! This is HELL!!
681450829,negative,United,"@united, American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service."
681459959,negative,Delta,@JetBlue as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue
681453784,negative,United,@united annnnddddd I'm going to lose my first class seat on the flight they shuffle me to
681452153,negative,United,"@united assistance with what, the attitude of your staff no matter which airport we are at?"
681460071,negative,US Airways,@USAirways Need to talk to a person about my bag. Waiting on hold for two hours. Bag s!b delivered last night. Online says not found.
681459468,negative,Delta,@JetBlue This is how you have me feeling.... http://t.co/esUu0hiAjM
681448303,negative,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
681448832,negative,Virgin America,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
681679683,negative,American,"@AmericanAir can you do anything to get #AA953 moving? Been almost 24 hrs and hundreds at jfk upset, tired and want to get to BA."
681462714,negative,US Airways,@USAirways so I would have to go though the entire process again just to get you people on the phone???????? #usairwayssucks
681462871,negative,US Airways,@USAirways Worst experience ever. Unable 2 help over phone and told at last min cabin crew unavailable for flight. Never again #USAirways
681455946,negative,Southwest,@SouthwestAir reviewing your oversize policy. Hardcase golfbags are free if under weight. How do we add guitars and instruments to the list?
681461819,negative,US Airways,@USAirways I called twice the recording says that it has being delivered to my apt but it is not here ?
681677749,negative,American,@AmericanAir there are no more flights via united when I arrive to DFW and my car is parked at IAH _���
681451574,negative,United,@united please don't take my membership away :(
681460449,negative,US Airways,"@USAirways #686 is delayed due to tail winds and need to jump on #521 to SEA, leaving the same time this arrives. Is there a chance to hold?"
681461826,negative,US Airways,"@USAirways had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag"
681462498,negative,US Airways,@USAirways we on on the flight from phf to clt. At the terminal but can't get off plane yet. Need to get on iah flight.
681448389,negative,Virgin America,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
681679505,negative,American,"@AmericanAir Where are your ticket offices in Boston? Impossible to book by phone or use voucher on website, what a headache! PLEASE HELP!"
681461552,negative,US Airways,@USAirways duh on baggage claim 2 more hours and counting .. Flights 622 &amp; 1898 http://t.co/DkZl57uPQI
681678821,negative,American,@AmericanAir it doesn't allow me to hold. That's the problem.
681449177,negative,United,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
681460739,negative,US Airways,"@USAirways usually ""sorry"" doesn't involve moving people to middle seats and removing them from upgrade lists. Guess that's a club perk."
681449840,negative,United,@united Flight 211/ORD gate agent tried to prevent me from taking onboard a bag I've used for 15 years! Flight crew was more reasonable!
681449721,negative,United,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.
681456241,negative,Southwest,@SouthwestAir when you enter every contest for #DestinationDragons and lose :(
681449104,negative,United,@united crashed trying to check in.
681678327,negative,American,"@AmericanAir - I'd be happy to hold on the phone, but your phone system is not allowing that and simply hangs up."
681454159,negative,United,"@United Your customer service for Mileage Plus customers is a disgrace. I just spent 45 min on the phone to reset a pin number, with no luck"
681679187,negative,American,@AmericanAir @carlw1980 I have followed and dm'd you. . . Please respond to my concern too. Really disappointed with customer service.
681460022,negative,US Airways,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund
681679633,negative,American,@AmericanAir flight was Cancelled Flightled can you guys help?
681459266,negative,Delta,@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited
681460195,negative,US Airways,@USAirways nah it's for my flight next week.. inside my Chairman 7-day window but you still haven't released the last open First seat to me
681678181,negative,American,@AmericanAir You lost a customer today. Flight today was Cancelled Flightled and I had to find out by calling customer service yesterday.
681457640,negative,Delta,@JetBlue I just booked a flight with you guys. I'm reconsidering that decision now after reading this tweet.
681461680,negative,US Airways,@USAirways over an hour is unacceptable wait time. thanks for nothing.  Be sure never to fly you again
681452808,negative,United,@united @dmb41shows I need this plane to get to buffalo so I can leave tonight. Any progress?
681460994,negative,US Airways,@USAirways truly dissapointed when our flight is delayed and going to miss connection that we are expected to rebook our own flight????????
681448334,negative,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
681679383,negative,American,@AmericanAir why a different airport! I have no way of getting to a different airport.
681679656,negative,American,@AmericanAir hey! Tried calling customer service and was told there's a 2 hour wait. This has been for the past 4 hours. Thanks! You suck!
681449634,negative,United,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology
681450809,negative,United,���@united:That's not something we like to hear. Hopefully our staff can resolve &amp; have you on your way ASAP. ^ML�۝:3:15 &amp; still not resolved
681462647,negative,US Airways,"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you."
681460636,negative,US Airways,@USAirways I get some bs from a guy at the door says door closes 10 minutes before it backs out. Yet I know for a fact it was 5 people short
681449267,negative,United,@united you are offering us 8 rooms for 32 people #FAIL
681451021,negative,United,@united no way one person is working entire security checkpoint in EWR _٠�
681451402,negative,United,"@united flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight"
681452065,negative,United,@united That is not what your reservations desk just told me.  They said there were plenty of seats
681450108,negative,United,"@united you Cancelled Flight my flight. I wait in line to get rebooked, when I'm at the front you make me go to another gate and I lose my place."
681448366,negative,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
681679077,negative,American,"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service"
681679280,negative,American,@AmericanAir yes but we HAVE TO GET HOME TOMORROW!!!! Please
681461772,negative,US Airways,@USAirways @AmericanAir Flight SF to NYC only made it to Philly. Ur customer service is telling me no refund for the last leg? #offensive
681460916,negative,US Airways,@USAirways What a mess caused by the computer systems. Flight 719 in 3 hours Late Flight and now no gate for us. Est 26 min wait.
681679214,negative,American,"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!"
681458247,negative,Delta,@JetBlue seriously? System down? No IT?
681677327,negative,American,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?
681456927,negative,Southwest,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???"
681679055,negative,American,"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" _���"
681462804,negative,US Airways,@USAirways will never travel with you again. This is insanity. storms are inevitable but making us hold to just add a lap child #badservice
681463151,negative,US Airways,@USAirways your customer service is horrible
681451412,negative,United,@united cabin pressurization issues are pretty serious. Flight 1109 landed in Washington because of it. My head is pounding.
681457759,negative,Delta,"@jetblue - WTF, stuck at JFK for 2+ hrs in a delay to Boston cuz u say snow.  No snow on weather map!!!  WTF!!!"
681461922,negative,US Airways,"@USAirways It's pretty hilarious that you want @SweetingR to finish his awful experience before doing something. Make it right, now."
681460886,negative,US Airways,@USAirways sure knows how to pamper customers they strand abroad. #badcustomerservice #fend4yourself #youareonyourown http://t.co/Pw1eudlcZg
681461545,negative,US Airways,@USAirways checked into my flight yesterday and have been bumped to a Tuesday flight! Unacceptable and no agents to speak to!
681450254,negative,United,"@united This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?"
681678573,negative,American,@AmericanAir at LAX and your service reps just hand out the 800 number to call. So that's not helpful.
681679673,negative,American,"@AmericanAir bought a ticket on @SouthwestAir. After two days, your ""team"" couldn't share the data needed to get me to my next meeting."
681461507,negative,US Airways,"@USAirways and at this point I don't need sorry, I need a revers agt to pick up the call so maybe we can make the 11:30 flight today"
681678772,negative,American,"@AmericanAir Thank you for the worst experience ever on an airline, from me to you, I hope your embarrassed as an airline. Pathetic"
681459791,negative,Delta,@JetBlue supervisor humiliated us and was uncompromising. We were completely blindsided!
681678634,negative,American,@AmericanAir I would purchase it if I was there by choice but you guys Cancelled Flightled my flight and have me stuck at DFW for 7 hours!
681461186,negative,US Airways,"@USAirways @AmericanAir @GMA could not have had a worse airline experience. Rude, unhelpful, got yelled at_��_. @JetBlue need your help"
681455140,negative,Southwest,@SouthwestAir How many trees have to die before you stop trying to sell us a credit  card? #OptOut http://t.co/CXrZhcdTVz
681454502,negative,Southwest,@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment
681455026,negative,Southwest,@SouthwestAir #tfw1 @JimCramer @AARP TY-Spent total of 3 hrs and 20 mins holding. Cell battery died. Finally made arrangements w kind Rep
681461534,negative,US Airways,@Sb5551 Sounds like  @USAirways should have planned better since this weather was no surprise. Completely unacceptable wait times!!!
681454508,negative,Southwest,@SouthwestAir making me miss #TheBachelor right now #wah
681462070,negative,US Airways,@USAirways How do I get through?
681453750,negative,United,@united now you've lost my bags too.  At least nobody has done anything to help out.  This is absurd.
681461167,negative,US Airways,@USAirways does anyone actually work at the dividend miles department? http://t.co/BgtJFmnEOT
681462032,negative,US Airways,@USAirways Cancelled Flightled our original flight to aruba. Now on the way home we were told we don't have seats. Never flying @usairways again
681454087,negative,United,"@united wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united."
681677730,negative,American,@AmericanAir @united @SpiritAirPR  @Fioretti2ndWard @ChicagosMayor @garcia4chicago BS that #Noise #Late Flight #NoRahm http://t.co/CFzdJmn0uI
681448790,negative,Virgin America,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
681455072,negative,Southwest,@SouthwestAir now on hold for 2.5 hours waiting to speak to someone about my Cancelled Flightled flight from Philly to ORL
681459730,negative,Delta,@JetBlue #1408 IAD to JFK still hasn't boarded. What's today's excuse and how am I gonna get to work?
681455529,negative,Southwest,@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with
681463285,negative,American,@AmericanAir ���Inconvenient�۝ is such a convenient word.
681453211,negative,United,@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!
681461196,negative,US Airways,@USAirways made it to the Bahamas for work but my luggage didn't. I know #travel happens but is there anyway I can get more help/info?
681455258,negative,Southwest,@SouthwestAir no. Told to call cust service on monday
681460342,negative,US Airways,@USAirways no i use to skyscanner and travel agency and i called u . You said you should call travel agency but
681455764,negative,Southwest,@SouthwestAir last 5 flights have all consistently ran behind schedule what's up with that ??
681679556,negative,American,@AmericanAir why was my flight from Miami to Dallas Monday  rescheduled to Tuesday?
681678946,negative,American,@AmericanAir I'm home &amp; only 9hr Late Flight.  No thanks to your service centre - their plan involved 4 flight legs all across NA and 2 full days..
681460674,negative,US Airways,@USAirways How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800 # are telling me 2 different things! Got hung up on 2x
681458799,negative,Delta,@JetBlue what's up with the random delay on flight 1729? Any chance of it being a false alarm?
681458762,negative,Delta,@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. _��_
681463249,negative,American,@AmericanAir don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now
681450518,negative,United,@united EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight 1071
681456788,negative,Southwest,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.
681461934,negative,US Airways,@USAirways I did at 7 pm! Still no bag..
681454419,negative,Southwest,@SouthwestAir I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?
681460138,negative,US Airways,@USAirways they have all of this at hotels. Still don't have my work folder or business casual clothes. #worst http://t.co/JIEYCat1Ek
681459796,negative,Delta,@JetBlue dispatcher keeps yelling and hung up on me!
681677416,negative,American,@AmericanAir Lost and Found is like talking to a hormonal teenager who refuses to talk to you. #useless #wastedeffort #FAIL
681462644,negative,US Airways,@USAirways the Late Flightr flight to Charleston is leaving before the flight scheduled earlier.  That's so wrong
681459321,negative,Delta,@JetBlue is flight 51 on 4/24/15 moved back? When I booked it said we arrive 11:31 but now it says 12:08 _���
681454987,negative,Southwest,@SouthwestAir Flight 52 got Cancelled Flightled 6 hrs before takeoff. No Customer Service. Been on hold for 30 minutes.
681449115,negative,United,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
681452243,negative,United,@united Yes and that is appreciated but misinformation damages credibility.  You may want to have someone observe in Newark #fwiw
681460297,negative,US Airways,"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens."
681451500,negative,United,@united fire yr rep who refused to put me on a flight that I had a boarding pass and seat on. Full explanation and her name in complaint.
681449140,negative,United,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.
681452702,negative,United,"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals"
681453941,negative,United,@united are the miles going to be restructured? Help a silver status brotha out! I thought I was winning with you guys until today lol
681455976,negative,Southwest,@SouthwestAir for your loyal A-list customers it should be easier to get help and bring resolution to issues with your rewards program.
681678515,negative,American,"@AmericanAir @USAirways ""but I take meds that make me severely dehydrated"" {sigh}"
681455222,negative,Southwest,"@SouthwestAir Booked 6mos early, paid for Early check in, was ASSIGNED boarding #, here 3hrs early and you deleted me in error?! #LAS2BUF"
681458100,negative,Delta,.@JetBlue thanks for making an effort. Credit where credit is due: flight 795 delayed 5 hours instead of 8 hours. #fwiw #loweredexpectations
681451599,negative,United,"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ"
681458713,negative,Delta,@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst
681450669,negative,United,@united seriously?   UA 806.  Delayed because of the copilot isn't here?  For 1.5 hours and he is only flying from Raleigh? Disappointing
681454499,negative,Southwest,"@SouthwestAir hey remember that time you lost my husbands bags? I do. 

#filmjobnoequipment 
#nowarmclothes"
681457327,negative,Delta,@JetBlue no seat assignment 5 mins before a flight...line 20 people deep. Guess I'm sitting with the baggage? @MarinaDomine
681678692,negative,American,@AmericanAir that is absolutely false stmt.  You have a comedy of errors incl no catering etc #GetYourActTogether
681452387,negative,United,"@united add wifi, entertainment and the old seats and i�۪ll come back."
681452657,negative,United,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!"
681462704,negative,US Airways,@USAirways I have to spend more than the cost of the flight just to get a free room and transportation to and from the airport
681456467,negative,Southwest,@SouthwestAir looks like my 1 yr anni trip has been replaced w someone's itinerary. Worried abt who can c my flight http://t.co/BApE6RuMNE
681461727,negative,US Airways,@USAirways @rylietolbert15 wow you wouldn't say
681453899,negative,United,"@United what the...? I go into the ""all airlines lounge"" w/ my Star Alliance Club Card in BCN only to be told Star Alliance isn't accepted"
681452631,negative,United,@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather
681455593,negative,Southwest,@SouthwestAir well I HAD a car &amp; free place 2 stay had I known Unacceptable treatment from Spvsr. Sally in Cleveland. #Disappointed
681451375,negative,United,@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united
681450291,negative,United,@united you advertise the flight and its still on you website and still can't be book. spent over 2 hours with united support
681462002,negative,US Airways,"@USAirways new slogan should be ""if you don't want to arrive on time, pick us"""
681455428,negative,Southwest,"@SouthwestAir app error - says click here, can't click not hyperlinked http://t.co/IH5w9nfKz2"
681454559,negative,Southwest,@SouthwestAir NOW you love me? After taking my money and only taking me halfway home. Sorry. Too Late Flight
681677756,negative,American,@AmericanAir the last was 2339 dfw to ord. Not weather reLate Flightd... Austin leg delayed as well
681454469,negative,Southwest,"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
681459557,negative,Delta,@JetBlue is the worst. I have to postpone my trip and they can't accommodate guests like @SouthwestAir #NeverAgain
681454938,negative,Southwest,@SouthwestAir just sent it
681449956,negative,United,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket
681451210,negative,United,@united Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello @jetblue http://t.co/HI76BOavXY
681454668,negative,Southwest,"@SouthwestAir @HDsportsguy yes I did. I hope for an update soon, need those clothes for a meeting tomorrow."
681454321,negative,Southwest,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.
681452605,negative,United,"@united define ""appreciate"". I doubt the worst major airline in the USA acts on much feedback."
681454731,negative,Southwest,"@SouthwestAir Password reset email is incredibly slow to arrive today. Checked spam folder, too. Web site says a few minutes, but 15? :|"
681678374,negative,American,@AmericanAir customer service is terrible.Been waiting 6 weeks for a reply to an email. Not helpful at all and keep brushing off problems!
681460925,negative,US Airways,@USAirways IS THIS RINGLING BROTHERS BARNUM AND BAILEY???  SHOULD I KEEP MY EYES PEELED FOR THE CLOWN CAR???
681450220,negative,United,@united on plane to Newark now. I was checked in as Rebecca Levi. My bag is under her name too.
681463100,negative,US Airways,@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
681462347,negative,US Airways,"@USAirways Appreciate the calls when flight's delayed, but the recorded msg is tedious &amp; just goes on &amp; on. I vote for texts if practical :)"
681678863,negative,American,@AmericanAir  MY FLIGHT #2962 OUT OF CLL @ 0600 WON'T LET ME CHECK IN. PLEASE HELP. #IMPORTANTFLIGHT
681458426,negative,Delta,"@JetBlue  thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!"
